MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
equations		yes	noun	"A mathematical sentence with an equal sign. For example, 3 + 1= 4 and 2x + 5= 9 are equations. (plural)"	4th math hm	equation	equat	noun	3	4 & 5	3	abstract	2	33.9167	1	equate	cognate	ecuaciones	1	"K.CC, K.OA ,1.OA ,2.OA ,2.MD ,3.OA ,4.OA ,4.NBT ,4.NF ,5.NBT ,5.NF ,6.R ,6.NS ,6.EE ,7.R ,7.EE ,7.G ,8.EE ,HS.N-CN ,HS.A-REI ,HS.F-IF ,HS.F-BF ,HS.F-LE ,HS.F-TF ,HS.G-GE ,8A.A ,8A.F ,8A.G ,8A.CVA END"	NOT PRESENT	"Math:4.OA Use the four operations with whole numbers to solve problems (1), 4.OA Use the four operations with whole numbers to solve problems (2), 4.OA Use the four operations with whole numbers to solve problems (3), 4.NBT Generalize place value understanding for multi-digit whole numbers (5), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6),4.NF Build fractions from unit fractions by applying and extending previous understandings of operations (3),Build fractions from unit fractions by applying and extending previous understanding of operations on whole numbers (4)"		"Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6),5.NF - Use equivalent fractions as a strategy to add and subtract fractions (2),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (6),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (7)"			4 & 5	math	1	3
equator		no	noun	the great circle of the celestial sphere whose plane is perpendicular to the axis of the earth	MW online	equator	equat	noun	2	5	1	concrete	24	33.9167	0		cognate	ecuador	0								4 & 5	math & science	2	4
equilateral	having the same length sides	yes	adjective	having all sides equal or of the same length	MW online	equilateral	equilater	noun & adjective	1 & 1	4 & 5	4	abstract	0.1044	0.1044	0		cognate	equilátero	1	"4.G ,HS.G-CO "	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"					4 & 5	math	1	4
equivalence		no	noun	"the state or property of being equivalent, or equal in force, amount, or value"	MW online	equivalence	equival	noun	3	4 & 5	3	abstract	0.3558	11.9707	0		cognate	equivalencia	1	"3.NF ,4.NF ,5.NF ,HS.F-BF "	NOT PRESENT	Math: 4.NF - Extend understanding of fraction equivalence and ordering (heading only)		Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (5)			4 & 5	math	1	3
equivalent	adjective: equal in value	yes	adjective	describing numbers that name the same amount	4th math psf	equivalent	equival	noun & adjective	2 & 2	4 & 5	4	abstract	11	11.9707	2		cognate	equivalente	1	"1.OA ,3.NF ,4.NF ,5.NF ,6.R ,6.EE ,7.R ,7.EE ,8.EE ,HS.A-SSE ,HS.F-IF ,HS.F-BF ,8A.A ,8A.F "	NOT PRESENT	"Math:4.NF Extend understanding of fraction equivalence and ordering (1),4.NF Build fractions from unit fractions by applying and extending previous understandings of operations (3),4.NF Understand decimal notation for fractions, and compare decimal fractions (5),4.NF footnotes"		Math: 5.NF - Use equivalent fractions as a strategy to add and subtract fractions (1)			4 & 5	math	1	4
equivalent	noun	yes	noun	numbers that name the same amount	4th math psf	equivalent	equival	noun & adjective	2 & 2	4 & 5	4	abstract	11	11.9707	2		cognate	equivalente	1	NOT PRESENT	NOT PRESENT	"Math:4.NF Extend understanding of fraction equivalence and ordering (1),4.NF Build fractions from unit fractions by applying and extending previous understandings of operations (3),4.NF Understand decimal notation for fractions, and compare decimal fractions (5),4.NF footnotes"		Math: 5.NF - Use equivalent fractions as a strategy to add and subtract fractions (1)			4 & 5	math	1	4
equivalents	numbers with equal values	yes	noun	numbers that name the same amount (plural)	4th math psf	equivalent	equival	noun & adjective	2 & 2	5	2	abstract	0.6149	11.9707	0		cognate	equivalentes	1	4.MD 	NOT PRESENT	Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (1)					5	math	1	2
estimate	noun	yes	noun	A number close to an exact amount. An estimate tells about how much or about how many.	4th math hm	estimate	estim	noun & verb	5 & 2	4	1	abstract	15	48.3887	2		cognate	estimación	1	"2.MD ,7.EE"	NOT PRESENT			Math: 5.NF - Use equivalent fractions as a strategy to add and subtract fractions (2)			4 & 5	math & science	2	4
estimate	verb--to make a good guess	yes	verb	to give an approximate value rather than an exact answer	5th math psf	estimate	estim	noun & verb	5 & 2	4 & 5	4	abstract	15	48.3887	2		cognate	estimar	1	"2.MD ,3.MD ,5.NF ,7.NS ,7.EE ,7.S ,8.NS ,8.EE ,HS.F-IF ,HS.F-BF ,HS.S-ID ,HS.S-IC ,HS.S-C ,8A.A "	NOT PRESENT			Math: 5.NF - Use equivalent fractions as a strategy to add and subtract fractions (2)			4 & 5	math & science	2	7
estimated	verb	yes	verb	to give an approximate value rather than an exact answer	5th math psf	estimate	estim	noun & verb	5 & 2	4 & 5	4	abstract	21	48.3887	1	estimate	cognate	estimado	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	5
estimates	3rd person sing verb	yes	verb	to give an approximate value rather than an exact answer	5th math psf	estimate	estim	noun & verb	5 & 2	4	1	abstract	9	48.3887	1	estimate	cognate	estima	1	NOT PRESENT	NOT PRESENT						4	math	1	1
estimates	noun plural	yes	noun	A number close to an exact amount. An estimate tells about how much or about how many. (plural)	4th math hm	estimate	estim	noun & verb	5 & 2	4 & 5	2	abstract	9	48.3887	1	estimate	cognate	estimaciones	1	"2.NBT ,7.S "	NOT PRESENT						4 & 5	math	1	2
estimating	verb	yes	verb	to give an approximate value rather than an exact answer	5th math psf	estimate	estim	noun & verb	5 & 2	4 & 5	3	abstract	2	48.3887	1	estimate	cognate	estimar	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	3
estimation		no	noun	"the act of estimating something, or the value, amount, or size arrived at in an estimate"	MW online	estimation	estim	noun	4	4 & 5	4	abstract	0.8271	48.3887	1	estimate	cognate	estimación	1	"2.NBT ,3.OA ,3.MD ,4.OA ,7.EE "	NOT PRESENT	Math: 4.OA Use the four operations with whole numbers to solve problems (3)					4 & 5	math	1	4
evaluate		yes	verb	to substitute the values given for the variables and to perform the operations to find the value of an expression	4th math hm	evaluate	evalu	verb	2	4 & 5	3	n/a	10	29.9943	2		cognate	evaluar	1	"5.OA ,6.EE ,7.EE ,7.S ,8.EE ,HS.F-IF ,HS.F-LE ,HS.F-TF ,HS.S-IC ,HS.S-MD ,8A.F "	"Grade 6 Reading Standards for Informational Texts,Grade 6 Writing Standards,Grade 7 Reading Standards for Informational Texts,Grade 7 Writing Standards,Grade 8 Reading Standards for Informational Text,Grade 8 Writing Standards,Grade 8 Speaking and Listening Standards,Grades 9-10 Reading Standards for Informational Text,Grades 9-10 Speaking and Listening,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects"			Math: 5.OA - Write and interpret numerical expressions (1)			4 & 5	math	1	3
evaluated		yes	verb	to substitute the values given for the variables and to perform the operations to find the value of an expression	4th math hm	evaluate	evalu	verb	2	5	1	n/a	3	29.9943	1	evaluate	cognate	evaluado	1	NOT PRESENT	NOT PRESENT						5	math	1	1
evaluating		yes	verb	to substitute the values given for the variables and to perform the operations to find the value of an expression	4th math hm	evaluate	evalu	verb	2	4 & 5	2	n/a	4	29.9943	1	evaluate	cognate	evaluando	1	5.OA 	"Grade 7 Speaking and Listening Standards,Grade 8 Reading Standards for Literature,Grade 8 Speaking and Listening Standards,Grades 9-10 Speaking and Listening,Grades 11-12 Reading Standards for Literature,Grades 11-12 Speaking and Listening Standards"			Math: 5.OA - Write and interpret numerical expressions (2)			4 & 5	math	1	2
even	as in even numbers	yes	adjective	"describing a whole number that is a multiple of 2. The ones digit in an even number is 0, 2, 4, 6, or 8. The numbers 56 and 48 are examples of even numbers."	4th math hm	even	even	noun & verb & adjective & adverb	1 & 3 & 6 & 4	4	2	abstract	1027	1285.864	0		notcognate		1	"2.OA ,3.OA ,4.OA ,4.NF ,HS.F-TF ,8A.F "	NOT PRESENT	"Math: 4.OA Generate and analyze patterns (5),4.NF Extend understanding of fraction equivalence and ordering (1)"					4	math	1	2
evenly		no	adverb	"with an even, level, or smooth surface; without roughness, elevations, or depression; uniformly; equally; comfortably; impartially; serenely"	Webster's Online Dictionary	evenly	evenli	adverb	2	4	1	n/a	9	1285.864	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
event		yes	noun	a collection of one or more outcomes	5th math psf	event	event	noun	4	4 & 5	2	abstract	43	1285.864	0		cognate	evento	0								4 & 5	math & science	2	3
evidence		no	noun	"an outward sign, or something that furnishes proof"	MW online	evidence	evid	noun & verb	3 & 3	4	2	abstract	77	97.0119	1	evident	cognate	evidencia	0	"8.S ,8A.S "	"Grade 3 Writing Standards,Grade 4 Reading Standards for Informational Text,Grade 4 Writing Standards,Grade 4 Speaking and Listening Standards,Grade 5 Reading Standards for Informational Text,Grade 5 Writing Standards,Grade 5 Speaking and Listening Standards,Grade 6 Reading Standards for Literature,Grade 6 Reading Standards for Informational Texts,Grade 6 Writing Standards,Grade 6 Speaking and Listening Standards,Grade 7 Reading Standards for Literature,Grade 7 Reading Standards for Informational Texts,Grade 7 Writing Standards,Grade 7 Speaking and Listening Standards,Grade 8 Reading Standards for Literature,Grade 8 Reading Standards for Informational Text,Grade 8 Writing Standards,Grade 8 Speaking and Listening Standards,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 9-10 Speaking and Listening,Grades 11-12 Reading Standards for Literature,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Reading Standards for Literacy in History/Social Studies,Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in History/Social Studies,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	" ELA:Grade 4 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (8),Grade 4 Writing Standards - Research to Build and Present Knowledge (9)"		"ELA: Grade 5 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (8),Grade 5 Writing Standards - Research to Build and Present Knowledge (9),Grade 5 Speaking and Listening Standards - Comprehension and Collaboration (3),Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (4)"			4 & 5	math & science	2	5
exact		no	adjective	"exhibiting or marked by strict, particular, and complete accordance with fact or a standard "	MW online	exact	exact	verb & adjective	2 & 2	4	2	n/a	35	152.8665	0		cognate	exacto	1	7.EE 	NOT PRESENT						4	math	1	2
examine		no	verb	to inspect closely	MW online	examine	examin	verb	5	5	1	n/a	37	102.3388	0		cognate	examinar	1	NOT PRESENT	"Grade 3 Writing Standards,Grade 4 Writing Standards,Grade 5 Writing Standards,Grade 6 Writing Standards,Grade 7 Writing Standards,Grade 8 Writing Standards,Grades 11-12 Writing Standards"	 ELA:Grade 4 Writing Standards - Text Types and Purposes (2)		ELA: Grade 5 Writing Standards - Text Types and Purposes (2)			4 & 5	math & science	2	2
examining		no	verb	to inspect closely	MW online	examine	examin	verb	5	4	1	n/a	13	102.3388	0		cognate	examinando	1	7.S 	NOT PRESENT						4	math & science	2	2
exhibit	a display in a museum or zoo	no	noun	"something exhibited, or shown publicly especially for purposes of competition or demonstration "	MW online	exhibit	exhibit	noun & verb	2 & 4	4 & 5	2	abstract	10	17.143	2		notcognate		0	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
expanded	as in expanded form	yes	adjective	"Extended in form, as when a number is written as the sum of the values of its digits. The number 583 written in expanded notation is 500+80+3."	4th math hm	expand	expand	adjective	1	4 & 5	4	n/a	14	52.0344	1	expand	notcognate		1	"2.NBT ,4.NBT ,5.NBT "	NOT PRESENT	Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (2)		Math: 5.NBT - Understand the place value system (3)			4 & 5	math	1	4
expanding		no	verb	to write out in full; expressing at length or in greater detail	MW online	expand	expand	verb	7	4	1	n/a	10	52.0344	1	expand	cognate	en expansión	1	"8.EE ,8A.A "	NOT PRESENT						4	math	1	1
experiment	noun--a systematic inquiry	no	noun	"a test/trial, or better known as an operation or procedure carried out under controlled conditions in order to discover an unknown effect or law, to test or establish a hypothesis, or to illustrate a known law"	MW online	experiment	experi	noun & verb	3 & 2	4 & 5	3	abstract	46	294.4147	0		cognate	experimento	1	"8.S ,HS.G-CO ,HS.S-IC ,8A.F ,8A.S "	"Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects"						4 & 5	math & science	2	6
exponent		yes	noun	the number in a power that tells how many times a factor is repeated	5th  math hm	exponent	expon	noun	3	5	2	concrete	0.3159	0.4966	0		cognate	exponente	1	NOT PRESENT	NOT PRESENT						5	math	1	2
exponential		no	adjective	"of, or relating to, an exponent, the number in a power that tells how many times a factor is repeated"	MW online	exponential	exponenti	noun & adjective	1 & 1	5	1	abstract	0.4744	0.5688	0		cognate	exponencial	1	"HS.A-SSE ,HS.A-REI ,HS.F-IF ,HS.F-LE ,HS.S-ID ,8A.F "	NOT PRESENT						5	math	1	1
exponents		yes	noun	the number in a power that tells how many times a factor is repeated (plural)	5th  math hm	exponent	expon	noun	3	5	2	concrete	0.0481	0.4966	0		cognate	exponentes	1	"5.NBT ,6.EE ,8.EE ,HS.A-SSE ,HS.F-IF ,8A.NQ ,8A.A "	NOT PRESENT			Math: 5.NBT - Understand the place value system (2)			5	math	1	2
express	verb--to communicate	no	verb	to represent in words or numerically--to state	MW online	express	express	noun & verb & adjective & adverb	3 & 7 & 2 & 1	4 & 5	2	abstract	44	142.7387	0		cognate	expresar	1	"1.OA ,1.MD ,2.OA ,3.NF ,3.G ,4.NF ,4.MD ,5.OA ,6.NS ,6.EE ,7.EE ,8.EE ,HS.A-SSE ,HS.F-LE ,HS.F-TF ,8A.A "	"Kindergarten Writing Standards,Kindergarten Speaking and Listening Standards,"	"Math:Build fractions from unit fractions by applying and extending previous understanding of operations on whole numbers (4),4.NF Understand decimal notation for fractions, and compare decimal fractions (5),4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (1)"		"Math: 5.OA - Write and interpret numerical expressions (2),5.OA - Write and interpret numerical expressions (2.1)"			4 & 5	math	1	2
expressed	represented as or stated as	no	verb	to represent in words or numerically--to state	MW online	express	express	adjective	2	5	1	n/a	29	142.7387	0		cognate	expresado	1	"3.OA ,7.R ,7.EE ,8.EE ,HS.F-IF ,8A.A ,8A.F "	"Grade 4 Speaking and Listening Standards,Grade 5 Speaking and Listening Standards,Grade 6 Speaking and Listening Standards,Grade 7 Speaking and Listening Standards,Grade 8 Speaking and Listening Standards,Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects"	 ELA:Grade 4 Speaking and Listening Standards - Comprehension and Collaboration (1)		ELA: Grade 5 Speaking and Listening Standards - Comprehension and Collaboration (1)			5	math	1	1
expresses		no	verb	to represent in words or numerically--to state	MW online	express	express	noun & verb & adjective & adverb	3 & 7 & 2 & 1	5	1	abstract	7	142.7387	0		cognate	expresa	1	7.S 	Grade 7 Language Standards						5	math	1	1
expression	part of a formula or equation	yes	noun	"A number, variable, or any combination of number, variables, and operation signs. For example, 2x, 4, and 3x+4 are expressions."	4th math hm	expression	express	noun	9	4 & 5	4	abstract	41	142.7387	0		cognate	expresión	1	"6.EE ,7.EE ,HS.A-SSE ,HS.A-AR ,HS.F-IF ,8A.A ,8A.F "	"Grade 1 Reading Standards: Foundational Skills,Grade 1 Speaking and Listening Standards,Grade 2 Reading Standards: Foundational Skills,Grade 3 Reading Standards: Foundational Skills,Grade 4 Reading Standards: Foundational Skills,Grade 5 Reading Standards: Foundational Skills,Grade 5 Speaking and Listening Standards,Grade 6 Language Standards,Grade 7 Language Standards,Grade 8 Language Standards,Grades 9-10 Language Standards,Grades 11-12 Speaking and Listening Standards"	 ELA: Grade 4 Reading Standards: Foundational Skills - Fluency (4)		"ELA: Grade 5 Reading Standards:  Foundational Skills - Fluency (3),Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (4)"			4 & 5	math	1	4
expressions		yes	noun	"A number, variable, or any combination of number, variables, and operation signs. For example, 2x, 4, and 3x+4 are expressions. (plural)"	4th math hm	expression	express	noun	9	4 & 5	3	abstract	13	142.7387	0		cognate	expresiones	1	"K.CC, K.OA ,5.OA ,6.EE ,7.NS ,7.EE ,8.NS ,8.EE ,HS.A-SSE ,HS.A-AR ,HS.F-IF ,HS.F-LE ,8A.NQ ,8A.A ,8A.F ,8A.CVA END"	NOT PRESENT			"Math: 5.OA - Write and interpret numerical expressions (1),5.OA - Write and interpret numerical expressions (2)"			4 & 5	math	1	3
