MATH WORDS		SOURCE #1--A MATH TEXT								SOURCE #2--A MATH TEXT								SOURCE #3--A MATH TEXT								SOURCE #4--A MATH TEXT								SOURCE #5--NOT A MATH TEXT								SOURCE #6--NOT A MATH TEXT								SOURCE #7--NOT A MATH TEXT								SOURCE #8--NOT A MATH TEXT							
	id	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE
mural	598	240					4th math hm	math	4	159					5th math hm	math	5	39					5th math psf	math	5																																								
negative	599	337	adjective--negative number	x			4th math psf	math	4	347	less than zero	x			4th math hm	math	4	541	negative numbers	x			5th math hm	math	5	474	opposite of positive				5th math psf	math	5																																
net	600	473	a surface area map used to teach about 3-dimensional figures	x			5th math psf	math	5	620	a surface area map used to teach about 3-dimensional figures	x			4th math hm	math	4	471	a surface area map used to teach about 3-dimensional figures	x			4th math psf	math	4	ksh22	a surface area map used to teach about 3-dimensional figures	x			5th math hm	math	5																																
nets	601	620	surface area maps used to teach about 3-dimensional figures	x			4th math hm	math	4																																																								
nickelodeon	602	132		x	x		4th math hm	math	4																																																								
nickelodeons	603	132		x	x		4th math hm	math	4																																																								
nickels	604	116	coins				5th math psf	math	5																																																								
nonzero	605	472					5th math psf	math	5																																																								
notation	606	5		x			4th math hm	math	4	126					4th math psf	math	4	54					5th math hm	math	5	66					5th math psf	math	5																																
notations	607	276					4th math psf	math	4																																																								
note	608	336	to make note of				4th math hm	math	4																																																								
note	609	264	a note of music				5th math psf	math	5																																																								
notes	610	68	notes of music				4th math psf	math	4																																																								
numeral	611	18					4th math psf	math	4																																																								
numeration	612	2					5th math psf	math	5																																																								
numerator	613	367		x			4th math hm	math	4	471		x			4th math psf	math	4	28					5th math hm	math	5	473		x			5th math psf	math	5																																
numerators	614	400					4th math hm	math	4	ksh12					5th math hm	math	5																																																
numerical	615	471		x			4th math psf	math	4																																																								
nutrients	616	610					4th math hm	math	4	110					5th math hm	math	5																	83					4th science delta	science	4	27					4th science mmh	science	4	120					5th science delta	science	5	115					5th science mmh	science	5
object	617	2	of a game				4th math hm	math	4																									9					4th science mmh	science	4																								
objective	618	3	what one will learn	x			4th math hm	math	4																																																								
objects	619	466	things				4th math psf	math	4																									221					4th science mmh	science	4	105					5th science delta	science	5																
obtuse	620	557		x			4th math hm	math	4	201					4th math psf	math	4	394		x			5th math hm	math	5	473		x			5th math psf	math	5																																
octagon	621	557		x			4th math hm	math	4	471		x			4th math psf	math	4	473		x			5th math psf	math	5																																								
odd	622	657	as in odd numbers	x			4th math hm	math	4	180	as in odd numbers				4th math psf	math	4																																																
operation	623	94	mathematics process				4th math hm	math	4	468					4th math psf	math	4	87					5th math hm	math	5	34					5th math psf	math	5																																
operational	624	159					4th math hm	math	4																																																								
operations	625	71	mathematics process	x			4th math hm	math	4	56					4th math psf	math	4	ksh1					5th math hm	math	5	468					5th math psf	math	5																																
opposite	626	ksh9		x			5th math hm	math	5	657		x			4th math hm	math	4	471					4th math psf	math	4									21					4th science delta	science	4	287					4th science mmh	science	4																
opposites	627	347					4th math hm	math	4	337		x			4th math psf	math	4	472					5th math psf	math	5																																								
